"","primary_com_name","species_group"
"263","Rufous-vented Chachalaca","Chachalacas, Guans, and Curassows"
"264","Rufous-headed Chachalaca","Chachalacas, Guans, and Curassows"
"265","Rufous-bellied Chachalaca","Chachalacas, Guans, and Curassows"
"266","West Mexican Chachalaca","Chachalacas, Guans, and Curassows"
"267","Chaco Chachalaca","Chachalacas, Guans, and Curassows"
"268","White-bellied Chachalaca","Chachalacas, Guans, and Curassows"
"269","Colombian Chachalaca","Chachalacas, Guans, and Curassows"
"270","Speckled Chachalaca","Chachalacas, Guans, and Curassows"
"271","East Brazilian Chachalaca","Chachalacas, Guans, and Curassows"
"272","Scaled Chachalaca","Chachalacas, Guans, and Curassows"
"273","Variable Chachalaca","Chachalacas, Guans, and Curassows"
"274","Chestnut-headed Chachalaca","Chachalacas, Guans, and Curassows"
"275","Buff-browed Chachalaca","Chachalacas, Guans, and Curassows"
"276","Band-tailed Guan","Chachalacas, Guans, and Curassows"
"277","Bearded Guan","Chachalacas, Guans, and Curassows"
"278","Baudo Guan","Chachalacas, Guans, and Curassows"
"279","Andean Guan","Chachalacas, Guans, and Curassows"
"280","Marail Guan","Chachalacas, Guans, and Curassows"
"281","Rusty-margined Guan","Chachalacas, Guans, and Curassows"
"282","Red-faced Guan","Chachalacas, Guans, and Curassows"
"283","Spix's Guan","Chachalacas, Guans, and Curassows"
"284","Crested Guan","Chachalacas, Guans, and Curassows"
"285","Cauca Guan","Chachalacas, Guans, and Curassows"
"286","White-winged Guan","Chachalacas, Guans, and Curassows"
"287","Dusky-legged Guan","Chachalacas, Guans, and Curassows"
"288","Yungas Guan","Chachalacas, Guans, and Curassows"
"289","White-crested Guan","Chachalacas, Guans, and Curassows"
"290","Chestnut-bellied Guan","Chachalacas, Guans, and Curassows"
"291","White-browed Guan","Chachalacas, Guans, and Curassows"
"292","Trinidad Piping-Guan","Chachalacas, Guans, and Curassows"
"293","Blue-throated Piping-Guan","Chachalacas, Guans, and Curassows"
"294","Red-throated Piping-Guan","Chachalacas, Guans, and Curassows"
"295","Black-fronted Piping-Guan","Chachalacas, Guans, and Curassows"
"296","Wattled Guan","Chachalacas, Guans, and Curassows"
"297","Black Guan","Chachalacas, Guans, and Curassows"
"298","Sickle-winged Guan","Chachalacas, Guans, and Curassows"
"299","Highland Guan","Chachalacas, Guans, and Curassows"
"300","Horned Guan","Chachalacas, Guans, and Curassows"
"301","Nocturnal Curassow","Chachalacas, Guans, and Curassows"
"302","Crestless Curassow","Chachalacas, Guans, and Curassows"
"303","Salvin's Curassow","Chachalacas, Guans, and Curassows"
"304","Razor-billed Curassow","Chachalacas, Guans, and Curassows"
"305","Alagoas Curassow","Chachalacas, Guans, and Curassows"
"306","Helmeted Curassow","Chachalacas, Guans, and Curassows"
"307","Sira Curassow","Chachalacas, Guans, and Curassows"
"308","Horned Curassow","Chachalacas, Guans, and Curassows"
"309","Great Curassow","Chachalacas, Guans, and Curassows"
"310","Blue-billed Curassow","Chachalacas, Guans, and Curassows"
"311","Yellow-knobbed Curassow","Chachalacas, Guans, and Curassows"
"312","Black Curassow","Chachalacas, Guans, and Curassows"
"313","Wattled Curassow","Chachalacas, Guans, and Curassows"
"314","Bare-faced Curassow","Chachalacas, Guans, and Curassows"
"315","Red-billed Curassow","Chachalacas, Guans, and Curassows"
"316","Helmeted Guineafowl","Grouse, Quail, and Allies"
"317","White-breasted Guineafowl","Grouse, Quail, and Allies"
"318","Black Guineafowl","Grouse, Quail, and Allies"
"319","Vulturine Guineafowl","Grouse, Quail, and Allies"
"320","Plumed Guineafowl","Grouse, Quail, and Allies"
"321","Crested Guineafowl","Grouse, Quail, and Allies"
"322","Stone Partridge","Grouse, Quail, and Allies"
"323","Nahan's Francolin","Grouse, Quail, and Allies"
"324","Tawny-faced Quail","Grouse, Quail, and Allies"
"325","Mountain Quail","Grouse, Quail, and Allies"
"326","Buffy-crowned Wood-Partridge","Grouse, Quail, and Allies"
"327","Long-tailed Wood-Partridge","Grouse, Quail, and Allies"
"328","Bearded Wood-Partridge","Grouse, Quail, and Allies"
"329","Banded Quail","Grouse, Quail, and Allies"
"330","Northern Bobwhite","Grouse, Quail, and Allies"
"331","Black-throated Bobwhite","Grouse, Quail, and Allies"
"332","Crested Bobwhite","Grouse, Quail, and Allies"
"333","Scaled Quail","Grouse, Quail, and Allies"
"334","Elegant Quail","Grouse, Quail, and Allies"
"335","California Quail","Grouse, Quail, and Allies"
"336","Gambel's Quail","Grouse, Quail, and Allies"
"337","Montezuma Quail","Grouse, Quail, and Allies"
"338","Ocellated Quail","Grouse, Quail, and Allies"
"339","Singing Quail","Grouse, Quail, and Allies"
"340","Marbled Wood-Quail","Grouse, Quail, and Allies"
"341","Spot-winged Wood-Quail","Grouse, Quail, and Allies"
"342","Black-eared Wood-Quail","Grouse, Quail, and Allies"
"343","Black-fronted Wood-Quail","Grouse, Quail, and Allies"
"344","Rufous-fronted Wood-Quail","Grouse, Quail, and Allies"
"345","Chestnut Wood-Quail","Grouse, Quail, and Allies"
"346","Dark-backed Wood-Quail","Grouse, Quail, and Allies"
"347","Rufous-breasted Wood-Quail","Grouse, Quail, and Allies"
"348","Tacarcuna Wood-Quail","Grouse, Quail, and Allies"
"349","Gorgeted Wood-Quail","Grouse, Quail, and Allies"
"350","Venezuelan Wood-Quail","Grouse, Quail, and Allies"
"351","Black-breasted Wood-Quail","Grouse, Quail, and Allies"
"352","Stripe-faced Wood-Quail","Grouse, Quail, and Allies"
"353","Starred Wood-Quail","Grouse, Quail, and Allies"
"354","Spotted Wood-Quail","Grouse, Quail, and Allies"
"355","Udzungwa Partridge","Grouse, Quail, and Allies"
"356","Ferruginous Partridge","Grouse, Quail, and Allies"
"357","Crested Partridge","Grouse, Quail, and Allies"
"358","Black Partridge","Grouse, Quail, and Allies"
"359","Hill Partridge","Grouse, Quail, and Allies"
"360","Sichuan Partridge","Grouse, Quail, and Allies"
"361","Chestnut-breasted Partridge","Grouse, Quail, and Allies"
"362","White-necklaced Partridge","Grouse, Quail, and Allies"
"363","Rufous-throated Partridge","Grouse, Quail, and Allies"
"364","Red-billed Partridge","Grouse, Quail, and Allies"
"365","Chestnut-headed Partridge","Grouse, Quail, and Allies"
"366","Hainan Partridge","Grouse, Quail, and Allies"
"367","Taiwan Partridge","Grouse, Quail, and Allies"
"368","White-cheeked Partridge","Grouse, Quail, and Allies"
"369","Bar-backed Partridge","Grouse, Quail, and Allies"
"370","Orange-necked Partridge","Grouse, Quail, and Allies"
"371","Red-breasted Partridge","Grouse, Quail, and Allies"
"372","Malayan Partridge","Grouse, Quail, and Allies"
"373","Roll's Partridge","Grouse, Quail, and Allies"
"374","Sumatran Partridge","Grouse, Quail, and Allies"
"375","Chestnut-bellied Partridge","Grouse, Quail, and Allies"
"376","Gray-breasted Partridge","Grouse, Quail, and Allies"
"377","Snow Partridge","Grouse, Quail, and Allies"
"378","Blood Pheasant","Grouse, Quail, and Allies"
"379","Western Tragopan","Grouse, Quail, and Allies"
"380","Satyr Tragopan","Grouse, Quail, and Allies"
"381","Blyth's Tragopan","Grouse, Quail, and Allies"
"382","Temminck's Tragopan","Grouse, Quail, and Allies"
"383","Cabot's Tragopan","Grouse, Quail, and Allies"
"384","Verreaux's Partridge","Grouse, Quail, and Allies"
"385","Szechenyi's Partridge","Grouse, Quail, and Allies"
"386","Himalayan Monal","Grouse, Quail, and Allies"
"387","Sclater's Monal","Grouse, Quail, and Allies"
"388","Chinese Monal","Grouse, Quail, and Allies"
"389","Koklass Pheasant","Grouse, Quail, and Allies"
"390","Wild Turkey","Grouse, Quail, and Allies"
"391","Ocellated Turkey","Grouse, Quail, and Allies"
"392","Ruffed Grouse","Grouse, Quail, and Allies"
"393","Hazel Grouse","Grouse, Quail, and Allies"
"394","Severtzov's Grouse","Grouse, Quail, and Allies"
"395","Greater Sage-Grouse","Grouse, Quail, and Allies"
"396","Gunnison Sage-Grouse","Grouse, Quail, and Allies"
"397","Dusky Grouse","Grouse, Quail, and Allies"
"398","Sooty Grouse","Grouse, Quail, and Allies"
"399","Sharp-tailed Grouse","Grouse, Quail, and Allies"
"400","Greater Prairie-Chicken","Grouse, Quail, and Allies"
"401","Lesser Prairie-Chicken","Grouse, Quail, and Allies"
"402","White-tailed Ptarmigan","Grouse, Quail, and Allies"
"403","Willow Ptarmigan","Grouse, Quail, and Allies"
"404","Rock Ptarmigan","Grouse, Quail, and Allies"
"405","Siberian Grouse","Grouse, Quail, and Allies"
"406","Spruce Grouse","Grouse, Quail, and Allies"
"407","Black-billed Capercaillie","Grouse, Quail, and Allies"
"408","Western Capercaillie","Grouse, Quail, and Allies"
"409","Black Grouse","Grouse, Quail, and Allies"
"410","Caucasian Grouse","Grouse, Quail, and Allies"
"411","Long-billed Partridge","Grouse, Quail, and Allies"
"412","Dulit Partridge","Grouse, Quail, and Allies"
"413","Tibetan Partridge","Grouse, Quail, and Allies"
"414","Gray Partridge","Grouse, Quail, and Allies"
"415","Daurian Partridge","Grouse, Quail, and Allies"
"416","Copper Pheasant","Grouse, Quail, and Allies"
"417","Reeves's Pheasant","Grouse, Quail, and Allies"
